2026-04-02 23:52:30 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-04-02 23:52:30 | INFO     | TyanShanWeight       | ==================================================
2026-04-02 23:52:30 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-04-02 23:52:30 | INFO     | TyanShanWeight       | Директория: /Users/zalkarkulmamatov/Desktop/projects/tsr/TyanShanWeight
2026-04-02 23:52:30 | INFO     | TyanShanWeight.config | Конфигурация загружена из /Users/zalkarkulmamatov/Desktop/projects/tsr/TyanShanWeight/config.json
2026-04-02 23:52:31 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-04-02 23:52:31 | INFO     | TyanShanWeight.camera | Создана директория для изображений: C:\Weights\images
2026-04-02 23:52:31 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-04-02 23:52:32 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-04-02 23:52:32 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.scale_reader | Ошибка подключения к COM4: [Errno 2] could not open port COM4: [Errno 2] No such file or directory: 'COM4'
2026-04-02 23:52:32 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-04-02 23:52:32 | INFO     | TyanShanWeight.api_client | Добавлено 5 неотправленных записей в очередь
2026-04-02 23:52:32 | INFO     | TyanShanWeight       | Приложение запущено
2026-04-02 23:52:32 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-04-02 23:52:32 | INFO     | TyanShanWeight.api_client | Запись #1 успешно отправлена
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка БД: name 'datetime' is not defined
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка логирования вебхука: name 'datetime' is not defined
2026-04-02 23:52:32 | INFO     | TyanShanWeight.database | Обновлен статус записи #1: sent=True
2026-04-02 23:52:32 | INFO     | TyanShanWeight.weighing_manager | Запись #1 успешно отправлена на API
2026-04-02 23:52:32 | INFO     | TyanShanWeight.api_client | Запись #2 успешно отправлена
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка БД: name 'datetime' is not defined
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка логирования вебхука: name 'datetime' is not defined
2026-04-02 23:52:32 | INFO     | TyanShanWeight.database | Обновлен статус записи #2: sent=True
2026-04-02 23:52:32 | INFO     | TyanShanWeight.weighing_manager | Запись #2 успешно отправлена на API
2026-04-02 23:52:32 | INFO     | TyanShanWeight.api_client | Запись #3 успешно отправлена
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка БД: name 'datetime' is not defined
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка логирования вебхука: name 'datetime' is not defined
2026-04-02 23:52:32 | INFO     | TyanShanWeight.database | Обновлен статус записи #3: sent=True
2026-04-02 23:52:32 | INFO     | TyanShanWeight.weighing_manager | Запись #3 успешно отправлена на API
2026-04-02 23:52:32 | INFO     | TyanShanWeight.api_client | Запись #4 успешно отправлена
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка БД: name 'datetime' is not defined
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка логирования вебхука: name 'datetime' is not defined
2026-04-02 23:52:32 | INFO     | TyanShanWeight.database | Обновлен статус записи #4: sent=True
2026-04-02 23:52:32 | INFO     | TyanShanWeight.weighing_manager | Запись #4 успешно отправлена на API
2026-04-02 23:52:32 | INFO     | TyanShanWeight.api_client | Запись #5 успешно отправлена
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка БД: name 'datetime' is not defined
2026-04-02 23:52:32 | ERROR    | TyanShanWeight.database | Ошибка логирования вебхука: name 'datetime' is not defined
2026-04-02 23:52:32 | INFO     | TyanShanWeight.database | Обновлен статус записи #5: sent=True
2026-04-02 23:52:32 | INFO     | TyanShanWeight.weighing_manager | Запись #5 успешно отправлена на API
2026-04-02 23:52:43 | INFO     | TyanShanWeight       | Логирование инициализировано
