2026-01-21 15:32:20 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-21 15:32:20 | INFO     | TyanShanWeight       | ==================================================
2026-01-21 15:32:20 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-21 15:32:20 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-21 15:32:20 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-21 15:32:20 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-21 15:32:20 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-21 15:32:20 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-21 15:32:20 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-21 15:32:20 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-21 15:32:20 | INFO     | TyanShanWeight.api_client | Добавлено 1 неотправленных записей в очередь
2026-01-21 15:32:20 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-21 15:32:20 | WARNING  | TyanShanWeight.api_client | URL API не настроен
2026-01-21 15:32:20 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-21 15:32:20 | INFO     | TyanShanWeight.database | Обновлен статус записи #1: sent=False
2026-01-21 15:32:20 | WARNING  | TyanShanWeight.weighing_manager | Ошибка отправки #1: URL не настроен
2026-01-21 15:32:24 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-01-21 15:32:25 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: False
2026-01-21 15:32:35 | INFO     | TyanShanWeight.config | Конфигурация сохранена в C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-21 15:32:35 | INFO     | TyanShanWeight.settings_dialog | Настройки сохранены
2026-01-21 15:32:35 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-21 15:32:35 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-21 15:32:35 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-21 15:32:35 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-21 15:32:35 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-21 15:32:35 | INFO     | TyanShanWeight.weighing_manager | Конфигурация обновлена
2026-01-21 15:33:18 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-21 15:33:18 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-21 15:33:23 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-21 15:33:23 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-21 15:53:44 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-01-21 15:53:48 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: False
2026-01-21 16:38:19 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-21 16:38:19 | INFO     | TyanShanWeight       | ==================================================
2026-01-21 16:38:19 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-21 16:38:19 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-21 16:38:19 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-21 16:38:20 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-21 16:38:20 | INFO     | TyanShanWeight.camera | Создана директория для изображений: C:\Weights\images
2026-01-21 16:38:20 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-21 16:38:20 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-21 16:38:20 | ERROR    | TyanShanWeight.scale_reader | Ошибка подключения к COM4: could not open port 'COM4': PermissionError(13, 'Отказано в доступе.', None, 5)
2026-01-21 16:38:20 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-21 16:38:20 | INFO     | TyanShanWeight.api_client | Добавлено 1 неотправленных записей в очередь
2026-01-21 16:38:20 | WARNING  | TyanShanWeight.api_client | URL API не настроен
2026-01-21 16:38:20 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-21 16:38:20 | INFO     | TyanShanWeight.database | Обновлен статус записи #1: sent=False
2026-01-21 16:38:20 | WARNING  | TyanShanWeight.weighing_manager | Ошибка отправки #1: URL не настроен
2026-01-21 16:38:20 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-21 16:39:19 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-01-21 16:39:19 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: False
2026-01-21 16:39:19 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-01-21 16:41:51 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-21 16:41:51 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-21 16:41:51 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-21 16:41:51 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-21 16:41:51 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-21 16:41:51 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-21 16:55:53 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-21 16:55:53 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-21 16:55:53 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-21 16:55:53 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-21 16:58:24 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-21 16:58:24 | INFO     | TyanShanWeight       | ==================================================
2026-01-21 16:58:24 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-21 16:58:24 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-21 16:58:24 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-21 16:58:24 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-21 16:58:24 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-21 16:58:24 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-21 16:58:24 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-21 16:58:24 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-21 16:58:24 | INFO     | TyanShanWeight.api_client | Добавлено 1 неотправленных записей в очередь
2026-01-21 16:58:24 | WARNING  | TyanShanWeight.api_client | URL API не настроен
2026-01-21 16:58:24 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-21 16:58:24 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-21 16:58:24 | INFO     | TyanShanWeight.database | Обновлен статус записи #1: sent=False
2026-01-21 16:58:24 | WARNING  | TyanShanWeight.weighing_manager | Ошибка отправки #1: URL не настроен
2026-01-21 17:06:54 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-01-21 17:08:37 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-21 17:08:37 | INFO     | TyanShanWeight       | ==================================================
2026-01-21 17:08:37 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-21 17:08:37 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-21 17:08:37 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-21 17:08:37 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-21 17:08:37 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-21 17:08:37 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-21 17:08:37 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-21 17:08:37 | ERROR    | TyanShanWeight.scale_reader | Ошибка подключения к COM4: could not open port 'COM4': PermissionError(13, 'Отказано в доступе.', None, 5)
2026-01-21 17:08:37 | INFO     | TyanShanWeight.api_client | Добавлено 1 неотправленных записей в очередь
2026-01-21 17:08:37 | WARNING  | TyanShanWeight.api_client | URL API не настроен
2026-01-21 17:08:37 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-21 17:08:37 | INFO     | TyanShanWeight.database | Обновлен статус записи #1: sent=False
2026-01-21 17:08:37 | WARNING  | TyanShanWeight.weighing_manager | Ошибка отправки #1: URL не настроен
2026-01-21 17:08:37 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-21 17:08:40 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-01-21 17:08:42 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-21 17:08:42 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-21 17:08:43 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-21 17:08:43 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-21 17:08:43 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-21 17:08:43 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-21 17:08:57 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: False
2026-01-21 17:08:59 | INFO     | TyanShanWeight.weighing_manager | Ручной режим: True
2026-01-21 17:12:08 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-21 17:12:08 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-21 17:12:08 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-21 17:12:08 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-21 17:12:11 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-21 17:12:11 | INFO     | TyanShanWeight       | ==================================================
2026-01-21 17:12:11 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-21 17:12:11 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-21 17:12:11 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-21 17:12:11 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-21 17:12:11 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-21 17:12:11 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-21 17:12:11 | INFO     | TyanShanWeight.api_client | API клиент запущен
